11708 files found
Loading point clouds...
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 11708/11708 [00:36<00:00, 320.30it/s]
Epoch:6 | Step:63500 | Loss:14.64576
Epoch:6 | Step:64000 | Loss:14.50236
Epoch:6 | Step:64500 | Loss:14.60072
Epoch:6 | Step:65000 | Loss:14.86628
Epoch:6 | Step:65500 | Loss:14.55012
Epoch:6 | Step:66000 | Loss:14.54493
Epoch:6 | Step:66500 | Loss:14.56909
Epoch:6 | Step:67000 | Loss:14.71315
Epoch:6 | Step:67500 | Loss:14.45834
Epoch:6 | Step:68000 | Loss:14.37884
Epoch:6 | Step:68500 | Loss:14.70675
Epoch:6 | Step:69000 | Loss:14.34069
Epoch:6 | Step:69500 | Loss:14.52747
Epoch:6 | Step:70000 | Loss:14.2261
2025-06-26 04:19:06.587447
Epoch:7 | Step:70500 | Loss:14.56099
Epoch:7 | Step:71000 | Loss:14.81969
Epoch:7 | Step:71500 | Loss:14.51973
Epoch:7 | Step:72000 | Loss:14.36442
Epoch:7 | Step:72500 | Loss:14.76223
Epoch:7 | Step:73000 | Loss:14.57169
Epoch:7 | Step:73500 | Loss:14.53238
Epoch:7 | Step:74000 | Loss:14.49796
Epoch:7 | Step:74500 | Loss:14.61957
Epoch:7 | Step:75000 | Loss:14.74996
Epoch:7 | Step:75500 | Loss:14.29407
Epoch:7 | Step:76000 | Loss:14.61601
Epoch:7 | Step:76500 | Loss:14.53806
Epoch:7 | Step:77000 | Loss:14.49749
Epoch:7 | Step:77500 | Loss:14.36338
Epoch:7 | Step:78000 | Loss:14.46026
Epoch:7 | Step:78500 | Loss:14.55268
Epoch:7 | Step:79000 | Loss:14.56132
Epoch:7 | Step:79500 | Loss:14.66318
Epoch:7 | Step:80000 | Loss:14.68804
Epoch:7 | Step:80500 | Loss:14.40548
Epoch:7 | Step:81000 | Loss:14.71119
Epoch:7 | Step:81500 | Loss:14.52714
2025-06-26 05:07:10.898712
Epoch:8 | Step:82000 | Loss:14.53166
Epoch:8 | Step:82500 | Loss:14.72584
Epoch:8 | Step:83000 | Loss:14.62479
Epoch:8 | Step:83500 | Loss:14.51427
Epoch:8 | Step:84000 | Loss:14.34898
Epoch:8 | Step:84500 | Loss:14.62118
Epoch:8 | Step:85000 | Loss:14.63717
Epoch:8 | Step:85500 | Loss:14.56357
Epoch:8 | Step:86000 | Loss:14.15489
Epoch:8 | Step:86500 | Loss:14.58056
Epoch:8 | Step:87000 | Loss:14.76469
Epoch:8 | Step:87500 | Loss:14.69176
Epoch:8 | Step:88000 | Loss:14.7397
Epoch:8 | Step:88500 | Loss:14.50183
Epoch:8 | Step:89000 | Loss:14.53202
Epoch:8 | Step:89500 | Loss:14.65139
Epoch:8 | Step:90000 | Loss:14.27245
Epoch:8 | Step:90500 | Loss:14.31064
Epoch:8 | Step:91000 | Loss:14.76878
Epoch:8 | Step:91500 | Loss:14.6376
Epoch:8 | Step:92000 | Loss:14.73214
Epoch:8 | Step:92500 | Loss:14.37651
Epoch:8 | Step:93000 | Loss:14.80162
Epoch:8 | Step:93500 | Loss:14.19299
2025-06-26 05:55:28.713895
Epoch:9 | Step:94000 | Loss:14.54051
Epoch:9 | Step:94500 | Loss:14.64046
Epoch:9 | Step:95000 | Loss:14.55321
Epoch:9 | Step:95500 | Loss:14.33845
